alpha,edge_mean_holdout,edge_std_holdout,harm_mean_holdout,harm_std_holdout,gap_mean_holdout,gap_std_holdout,edge_mean_random,edge_std_random,harm_mean_random,harm_std_random,gap_mean_random,gap_std_random
-10.0,0.27571740947820256,0.041574848108485676,0.7975,0.02404423007708922,0.5217825905217974,0.045717539423064876,0.9216666666666666,0.028012893856619363,1.0,0.0,0.07833333333333332,0.028012893856619342
-8.0,0.3932881090412271,0.04427930722536689,0.86,0.013693063937629153,0.4667118909587729,0.0482920484985383,0.9183333333333333,0.020749832663314576,1.0,0.0,0.08166666666666667,0.020749832663314576
-6.0,0.5328675254674615,0.0321087468810431,0.9349999999999999,0.005590169943749467,0.40213247453253853,0.03026155739961516,0.9166666666666666,0.010206207261596604,1.0,0.0,0.08333333333333333,0.010206207261596583
-4.0,0.6692071535755578,0.027060933988390976,0.9949999999999999,0.006846531968814555,0.32579284642444223,0.022355570950636745,0.9183333333333333,0.0069721668877840105,1.0,0.0,0.08166666666666667,0.00697216688778399
-2.0,0.8037770210459689,0.019562080398095018,1.0,0.0,0.19622297895403107,0.019562080398094987,0.9133333333333333,0.004564354645876366,1.0,0.0,0.0866666666666667,0.004564354645876369
-1.0,0.8763518185967818,0.009318892238301141,1.0,0.0,0.12364818140321818,0.009318892238301145,0.9099999999999999,0.0037267799624996394,1.0,0.0,0.09000000000000001,0.0037267799624996364
0.0,0.9130275246552829,0.014600187011733153,1.0,0.0,0.08697247534471708,0.01460018701173317,0.9083333333333334,0.0,1.0,0.0,0.09166666666666667,0.0
1.0,0.9500412493025221,0.015960721215247758,1.0,0.0,0.049958750697477926,0.01596072121524774,0.9116666666666667,0.004564354645876366,1.0,0.0,0.08833333333333335,0.004564354645876369
2.0,0.9637126012245936,0.013067290682338178,1.0,0.0,0.03628739877540645,0.013067290682338173,0.9116666666666667,0.007453559924999345,1.0,0.0,0.08833333333333333,0.007453559924999323
4.0,0.9937484737484737,0.008561996278175272,1.0,0.0,0.0062515262515262515,0.008561996278175275,0.9133333333333333,0.011180339887498985,1.0,0.0,0.08666666666666667,0.011180339887498959
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9116666666666667,0.012638125740085942,1.0,0.0,0.08833333333333333,0.012638125740085921
